Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,81076,1939,09,22,0.0,,Y
IDCJAC0009,81076,1939,09,23,0.0,,Y
IDCJAC0009,81076,1939,09,24,0.0,,Y
IDCJAC0009,81076,1939,09,25,0.0,,Y
IDCJAC0009,81076,1939,09,26,12.2,1,Y
IDCJAC0009,81076,1939,09,27,1.3,1,Y
IDCJAC0009,81076,1939,09,28,0.0,,Y
IDCJAC0009,81076,1939,09,29,0.0,,Y
IDCJAC0009,81076,1939,09,30,0.0,,Y
IDCJAC0009,81076,1939,10,01,0.0,,Y
IDCJAC0009,81076,1939,10,02,0.0,,Y
IDCJAC0009,81076,1939,10,03,0.0,,Y
IDCJAC0009,81076,1939,10,04,0.0,,Y
IDCJAC0009,81076,1939,10,05,5.8,1,Y
IDCJAC0009,81076,1939,10,06,12.2,1,Y
IDCJAC0009,81076,1939,10,07,1.3,1,Y
IDCJAC0009,81076,1939,10,08,0.5,1,Y
IDCJAC0009,81076,1939,10,09,3.3,1,Y
IDCJAC0009,81076,1939,10,10,3.0,1,Y
IDCJAC0009,81076,1939,10,11,0.0,,Y
IDCJAC0009,81076,1939,10,12,0.0,,Y
IDCJAC0009,81076,1939,10,13,0.0,,Y
IDCJAC0009,81076,1939,10,14,0.0,,Y
IDCJAC0009,81076,1939,10,15,15.0,1,Y
IDCJAC0009,81076,1939,10,16,0.5,1,Y
IDCJAC0009,81076,1939,10,17,0.0,,Y
IDCJAC0009,81076,1939,10,18,0.0,,Y
IDCJAC0009,81076,1939,10,19,0.0,,Y
IDCJAC0009,81076,1939,10,20,0.0,,Y
IDCJAC0009,81076,1939,10,21,0.0,,Y
IDCJAC0009,81076,1939,10,22,26.4,1,Y
IDCJAC0009,81076,1939,10,23,8.6,1,Y
IDCJAC0009,81076,1939,10,24,0.0,,Y
IDCJAC0009,81076,1939,10,25,0.0,,Y
IDCJAC0009,81076,1939,10,26,0.0,,Y
IDCJAC0009,81076,1939,10,27,0.0,,Y
IDCJAC0009,81076,1939,10,28,0.0,,Y
IDCJAC0009,81076,1939,10,29,0.0,,Y
IDCJAC0009,81076,1939,10,30,0.0,,Y
IDCJAC0009,81076,1939,10,31,0.0,,Y
IDCJAC0009,81076,1939,11,01,9.1,1,Y
IDCJAC0009,81076,1939,11,02,0.0,,Y
IDCJAC0009,81076,1939,11,03,0.5,1,Y
IDCJAC0009,81076,1939,11,04,12.4,1,Y
IDCJAC0009,81076,1939,11,05,0.8,1,Y
IDCJAC0009,81076,1939,11,06,4.3,1,Y
IDCJAC0009,81076,1939,11,07,9.1,1,Y
IDCJAC0009,81076,1939,11,08,2.3,1,Y
IDCJAC0009,81076,1939,11,09,0.0,,Y
IDCJAC0009,81076,1939,11,10,0.0,,Y
IDCJAC0009,81076,1939,11,11,0.0,,Y
IDCJAC0009,81076,1939,11,12,0.0,,Y
IDCJAC0009,81076,1939,11,13,0.0,,Y
IDCJAC0009,81076,1939,11,14,0.0,,Y
IDCJAC0009,81076,1939,11,15,0.0,,Y
IDCJAC0009,81076,1939,11,16,6.6,1,Y
IDCJAC0009,81076,1939,11,17,0.0,,Y
IDCJAC0009,81076,1939,11,18,0.0,,Y
IDCJAC0009,81076,1939,11,19,0.0,,Y
IDCJAC0009,81076,1939,11,20,1.8,1,Y
IDCJAC0009,81076,1939,11,21,0.0,,Y
IDCJAC0009,81076,1939,11,22,0.0,,Y
IDCJAC0009,81076,1939,11,23,0.0,,Y
IDCJAC0009,81076,1939,11,24,0.0,,Y
IDCJAC0009,81076,1939,11,25,0.0,,Y
IDCJAC0009,81076,1939,11,26,0.8,1,Y
IDCJAC0009,81076,1939,11,27,0.5,1,Y
IDCJAC0009,81076,1939,11,28,0.0,,Y
IDCJAC0009,81076,1939,11,29,1.8,1,Y
IDCJAC0009,81076,1939,11,30,0.5,1,Y
IDCJAC0009,81076,1939,12,01,0.0,,Y
IDCJAC0009,81076,1939,12,02,0.0,,Y
IDCJAC0009,81076,1939,12,03,0.0,,Y
IDCJAC0009,81076,1939,12,04,1.0,1,Y
IDCJAC0009,81076,1939,12,05,0.8,1,Y
IDCJAC0009,81076,1939,12,06,3.0,1,Y
IDCJAC0009,81076,1939,12,07,0.0,,Y
IDCJAC0009,81076,1939,12,08,0.0,,Y
IDCJAC0009,81076,1939,12,09,0.0,,Y
IDCJAC0009,81076,1939,12,10,0.0,,Y
IDCJAC0009,81076,1939,12,11,0.0,,Y
IDCJAC0009,81076,1939,12,12,0.0,,Y
IDCJAC0009,81076,1939,12,13,0.8,1,Y
IDCJAC0009,81076,1939,12,14,0.0,,Y
IDCJAC0009,81076,1939,12,15,0.0,,Y
IDCJAC0009,81076,1939,12,16,0.0,,Y
IDCJAC0009,81076,1939,12,17,0.0,,Y
IDCJAC0009,81076,1939,12,18,0.0,,Y
IDCJAC0009,81076,1939,12,19,0.0,,Y
IDCJAC0009,81076,1939,12,20,0.0,,Y
IDCJAC0009,81076,1939,12,21,0.0,,Y
IDCJAC0009,81076,1939,12,22,0.0,,Y
IDCJAC0009,81076,1939,12,23,0.0,,Y
IDCJAC0009,81076,1939,12,24,0.0,,Y
IDCJAC0009,81076,1939,12,25,0.0,,Y
IDCJAC0009,81076,1939,12,26,0.0,,Y
IDCJAC0009,81076,1939,12,27,0.0,,Y
IDCJAC0009,81076,1939,12,28,0.0,,Y
IDCJAC0009,81076,1939,12,29,0.0,,Y
IDCJAC0009,81076,1939,12,30,0.0,,Y
IDCJAC0009,81076,1939,12,31,0.0,,Y
IDCJAC0009,81076,1940,01,01,0.0,,Y
IDCJAC0009,81076,1940,01,02,0.0,,Y
IDCJAC0009,81076,1940,01,03,0.0,,Y
IDCJAC0009,81076,1940,01,04,0.0,,Y
IDCJAC0009,81076,1940,01,05,0.0,,Y
IDCJAC0009,81076,1940,01,06,4.6,1,Y
IDCJAC0009,81076,1940,01,07,0.0,,Y
IDCJAC0009,81076,1940,01,08,0.0,,Y
IDCJAC0009,81076,1940,01,09,0.0,,Y
IDCJAC0009,81076,1940,01,10,0.0,,Y
IDCJAC0009,81076,1940,01,11,0.0,,Y
IDCJAC0009,81076,1940,01,12,0.0,,Y
IDCJAC0009,81076,1940,01,13,0.0,,Y
IDCJAC0009,81076,1940,01,14,0.0,,Y
IDCJAC0009,81076,1940,01,15,0.0,,Y
IDCJAC0009,81076,1940,01,16,0.0,,Y
IDCJAC0009,81076,1940,01,17,0.5,1,Y
IDCJAC0009,81076,1940,01,18,0.0,,Y
IDCJAC0009,81076,1940,01,19,0.0,,Y
IDCJAC0009,81076,1940,01,20,0.0,,Y
IDCJAC0009,81076,1940,01,21,0.0,,Y
IDCJAC0009,81076,1940,01,22,0.5,1,Y
IDCJAC0009,81076,1940,01,23,0.0,,Y
IDCJAC0009,81076,1940,01,24,0.0,,Y
IDCJAC0009,81076,1940,01,25,1.0,1,Y
IDCJAC0009,81076,1940,01,26,0.0,,Y
IDCJAC0009,81076,1940,01,27,0.0,,Y
IDCJAC0009,81076,1940,01,28,0.0,,Y
IDCJAC0009,81076,1940,01,29,0.0,,Y
IDCJAC0009,81076,1940,01,30,0.0,,Y
IDCJAC0009,81076,1940,01,31,0.0,,Y
IDCJAC0009,81076,1940,02,01,0.0,,Y
IDCJAC0009,81076,1940,02,02,0.0,,Y
IDCJAC0009,81076,1940,02,03,0.0,,Y
IDCJAC0009,81076,1940,02,04,0.0,,Y
IDCJAC0009,81076,1940,02,05,0.0,,Y
IDCJAC0009,81076,1940,02,06,0.0,,Y
IDCJAC0009,81076,1940,02,07,0.0,,Y
IDCJAC0009,81076,1940,02,08,0.0,,Y
IDCJAC0009,81076,1940,02,09,0.0,,Y
IDCJAC0009,81076,1940,02,10,0.0,,Y
IDCJAC0009,81076,1940,02,11,0.0,,Y
IDCJAC0009,81076,1940,02,12,0.0,,Y
IDCJAC0009,81076,1940,02,13,0.0,,Y
IDCJAC0009,81076,1940,02,14,0.0,,Y
IDCJAC0009,81076,1940,02,15,0.0,,Y
IDCJAC0009,81076,1940,02,16,0.0,,Y
IDCJAC0009,81076,1940,02,17,0.5,1,Y
IDCJAC0009,81076,1940,02,18,0.0,,Y
IDCJAC0009,81076,1940,02,19,0.0,,Y
IDCJAC0009,81076,1940,02,20,0.0,,Y
IDCJAC0009,81076,1940,02,21,0.0,,Y
IDCJAC0009,81076,1940,02,22,0.0,,Y
IDCJAC0009,81076,1940,02,23,0.0,,Y
IDCJAC0009,81076,1940,02,24,0.0,,Y
IDCJAC0009,81076,1940,02,25,0.0,,Y
IDCJAC0009,81076,1940,02,26,0.0,,Y
IDCJAC0009,81076,1940,02,27,0.0,,Y
IDCJAC0009,81076,1940,02,28,0.0,,Y
IDCJAC0009,81076,1940,02,29,0.0,,Y
IDCJAC0009,81076,1940,03,01,0.0,,Y
IDCJAC0009,81076,1940,03,02,0.0,,Y
IDCJAC0009,81076,1940,03,03,0.0,,Y
IDCJAC0009,81076,1940,03,04,0.0,,Y
IDCJAC0009,81076,1940,03,05,0.0,,Y
IDCJAC0009,81076,1940,03,06,0.0,,Y
IDCJAC0009,81076,1940,03,07,0.0,,Y
IDCJAC0009,81076,1940,03,08,0.0,,Y
IDCJAC0009,81076,1940,03,09,0.0,,Y
IDCJAC0009,81076,1940,03,10,0.0,,Y
IDCJAC0009,81076,1940,03,11,0.0,,Y
IDCJAC0009,81076,1940,03,12,0.0,,Y
IDCJAC0009,81076,1940,03,13,0.0,,Y
IDCJAC0009,81076,1940,03,14,0.0,,Y
IDCJAC0009,81076,1940,03,15,0.0,,Y
IDCJAC0009,81076,1940,03,16,0.0,,Y
IDCJAC0009,81076,1940,03,17,0.0,,Y
IDCJAC0009,81076,1940,03,18,0.0,,Y
IDCJAC0009,81076,1940,03,19,1.0,1,Y
IDCJAC0009,81076,1940,03,20,0.0,,Y
IDCJAC0009,81076,1940,03,21,0.0,,Y
IDCJAC0009,81076,1940,03,22,0.0,,Y
IDCJAC0009,81076,1940,03,23,0.0,,Y
IDCJAC0009,81076,1940,03,24,0.0,,Y
IDCJAC0009,81076,1940,03,25,0.0,,Y
IDCJAC0009,81076,1940,03,26,0.0,,Y
IDCJAC0009,81076,1940,03,27,0.0,,Y
IDCJAC0009,81076,1940,03,28,0.0,,Y
IDCJAC0009,81076,1940,03,29,0.0,,Y
IDCJAC0009,81076,1940,03,30,0.0,,Y
IDCJAC0009,81076,1940,03,31,0.0,,Y
IDCJAC0009,81076,1940,04,01,5.6,1,Y
IDCJAC0009,81076,1940,04,02,0.0,,Y
IDCJAC0009,81076,1940,04,03,0.0,,Y
IDCJAC0009,81076,1940,04,04,9.9,1,Y
IDCJAC0009,81076,1940,04,05,0.0,,Y
IDCJAC0009,81076,1940,04,06,0.0,,Y
IDCJAC0009,81076,1940,04,07,0.0,,Y
IDCJAC0009,81076,1940,04,08,0.0,,Y
IDCJAC0009,81076,1940,04,09,0.0,,Y
IDCJAC0009,81076,1940,04,10,0.0,,Y
IDCJAC0009,81076,1940,04,11,0.0,,Y
IDCJAC0009,81076,1940,04,12,0.0,,Y
IDCJAC0009,81076,1940,04,13,0.0,,Y
IDCJAC0009,81076,1940,04,14,0.0,,Y
IDCJAC0009,81076,1940,04,15,9.4,1,Y
IDCJAC0009,81076,1940,04,16,6.1,1,Y
IDCJAC0009,81076,1940,04,17,0.3,1,Y
IDCJAC0009,81076,1940,04,18,0.0,,Y
IDCJAC0009,81076,1940,04,19,0.0,,Y
IDCJAC0009,81076,1940,04,20,0.0,,Y
IDCJAC0009,81076,1940,04,21,0.0,,Y
IDCJAC0009,81076,1940,04,22,0.0,,Y
IDCJAC0009,81076,1940,04,23,0.0,,Y
IDCJAC0009,81076,1940,04,24,0.5,1,Y
IDCJAC0009,81076,1940,04,25,8.9,1,Y
IDCJAC0009,81076,1940,04,26,6.9,1,Y
IDCJAC0009,81076,1940,04,27,0.0,,Y
IDCJAC0009,81076,1940,04,28,0.0,,Y
IDCJAC0009,81076,1940,04,29,0.0,,Y
IDCJAC0009,81076,1940,04,30,2.5,1,Y
IDCJAC0009,81076,1940,05,01,8.6,1,Y
IDCJAC0009,81076,1940,05,02,0.5,1,Y
IDCJAC0009,81076,1940,05,03,0.0,,Y
IDCJAC0009,81076,1940,05,04,0.0,,Y
IDCJAC0009,81076,1940,05,05,0.0,,Y
IDCJAC0009,81076,1940,05,06,0.0,,Y
IDCJAC0009,81076,1940,05,07,0.0,,Y
IDCJAC0009,81076,1940,05,08,0.0,,Y
IDCJAC0009,81076,1940,05,09,0.0,,Y
IDCJAC0009,81076,1940,05,10,0.0,,Y
IDCJAC0009,81076,1940,05,11,0.0,,Y
IDCJAC0009,81076,1940,05,12,0.0,,Y
IDCJAC0009,81076,1940,05,13,0.0,,Y
IDCJAC0009,81076,1940,05,14,0.0,,Y
IDCJAC0009,81076,1940,05,15,0.0,,Y
IDCJAC0009,81076,1940,05,16,0.0,,Y
IDCJAC0009,81076,1940,05,17,3.8,1,Y
IDCJAC0009,81076,1940,05,18,0.5,1,Y
IDCJAC0009,81076,1940,05,19,0.0,,Y
IDCJAC0009,81076,1940,05,20,0.0,,Y
IDCJAC0009,81076,1940,05,21,0.0,,Y
IDCJAC0009,81076,1940,05,22,0.8,1,Y
IDCJAC0009,81076,1940,05,23,0.0,,Y
IDCJAC0009,81076,1940,05,24,0.0,,Y
IDCJAC0009,81076,1940,05,25,0.0,,Y
IDCJAC0009,81076,1940,05,26,0.0,,Y
IDCJAC0009,81076,1940,05,27,0.0,,Y
IDCJAC0009,81076,1940,05,28,0.0,,Y
IDCJAC0009,81076,1940,05,29,0.0,,Y
IDCJAC0009,81076,1940,05,30,0.5,1,Y
IDCJAC0009,81076,1940,05,31,0.0,,Y
IDCJAC0009,81076,1940,06,01,0.0,,Y
IDCJAC0009,81076,1940,06,02,0.0,,Y
IDCJAC0009,81076,1940,06,03,0.0,,Y
IDCJAC0009,81076,1940,06,04,0.0,,Y
IDCJAC0009,81076,1940,06,05,0.0,,Y
IDCJAC0009,81076,1940,06,06,7.1,1,Y
IDCJAC0009,81076,1940,06,07,0.0,,Y
IDCJAC0009,81076,1940,06,08,0.0,,Y
IDCJAC0009,81076,1940,06,09,0.0,,Y
IDCJAC0009,81076,1940,06,10,0.0,,Y
IDCJAC0009,81076,1940,06,11,0.0,,Y
IDCJAC0009,81076,1940,06,12,0.0,,Y
IDCJAC0009,81076,1940,06,13,0.0,,Y
IDCJAC0009,81076,1940,06,14,0.0,,Y
IDCJAC0009,81076,1940,06,15,1.0,1,Y
IDCJAC0009,81076,1940,06,16,0.5,1,Y
IDCJAC0009,81076,1940,06,17,0.0,,Y
IDCJAC0009,81076,1940,06,18,0.0,,Y
IDCJAC0009,81076,1940,06,19,0.0,,Y
IDCJAC0009,81076,1940,06,20,3.0,1,Y
IDCJAC0009,81076,1940,06,21,3.0,1,Y
IDCJAC0009,81076,1940,06,22,1.0,1,Y
IDCJAC0009,81076,1940,06,23,0.0,,Y
IDCJAC0009,81076,1940,06,24,0.0,,Y
IDCJAC0009,81076,1940,06,25,0.0,,Y
IDCJAC0009,81076,1940,06,26,0.0,,Y
IDCJAC0009,81076,1940,06,27,0.0,,Y
IDCJAC0009,81076,1940,06,28,0.0,,Y
IDCJAC0009,81076,1940,06,29,0.0,,Y
IDCJAC0009,81076,1940,06,30,0.5,1,Y
IDCJAC0009,81076,1940,07,01,3.6,1,Y
IDCJAC0009,81076,1940,07,02,0.0,,Y
IDCJAC0009,81076,1940,07,03,0.0,,Y
IDCJAC0009,81076,1940,07,04,0.0,,Y
IDCJAC0009,81076,1940,07,05,0.0,,Y
IDCJAC0009,81076,1940,07,06,0.0,,Y
IDCJAC0009,81076,1940,07,07,0.0,,Y
IDCJAC0009,81076,1940,07,08,0.0,,Y
IDCJAC0009,81076,1940,07,09,0.0,,Y
IDCJAC0009,81076,1940,07,10,16.0,1,Y
IDCJAC0009,81076,1940,07,11,1.0,1,Y
IDCJAC0009,81076,1940,07,12,0.0,,Y
IDCJAC0009,81076,1940,07,13,5.1,1,Y
IDCJAC0009,81076,1940,07,14,4.1,1,Y
IDCJAC0009,81076,1940,07,15,0.0,,Y
IDCJAC0009,81076,1940,07,16,0.0,,Y
IDCJAC0009,81076,1940,07,17,4.6,1,Y
IDCJAC0009,81076,1940,07,18,0.0,,Y
IDCJAC0009,81076,1940,07,19,0.0,,Y
IDCJAC0009,81076,1940,07,20,0.5,1,Y
IDCJAC0009,81076,1940,07,21,0.0,,Y
IDCJAC0009,81076,1940,07,22,0.0,,Y
IDCJAC0009,81076,1940,07,23,0.0,,Y
IDCJAC0009,81076,1940,07,24,1.8,1,Y
IDCJAC0009,81076,1940,07,25,0.0,,Y
IDCJAC0009,81076,1940,07,26,0.0,,Y
IDCJAC0009,81076,1940,07,27,0.0,,Y
IDCJAC0009,81076,1940,07,28,0.0,,Y
IDCJAC0009,81076,1940,07,29,3.6,1,Y
IDCJAC0009,81076,1940,07,30,0.0,,Y
IDCJAC0009,81076,1940,07,31,0.5,1,Y
IDCJAC0009,81076,1940,08,01,0.0,,Y
IDCJAC0009,81076,1940,08,02,1.0,1,Y
IDCJAC0009,81076,1940,08,03,0.0,,Y
IDCJAC0009,81076,1940,08,04,0.0,,Y
IDCJAC0009,81076,1940,08,05,0.0,,Y
IDCJAC0009,81076,1940,08,06,6.1,1,Y
IDCJAC0009,81076,1940,08,07,0.5,1,Y
IDCJAC0009,81076,1940,08,08,0.0,,Y
IDCJAC0009,81076,1940,08,09,0.0,,Y
IDCJAC0009,81076,1940,08,10,0.0,,Y
IDCJAC0009,81076,1940,08,11,0.0,,Y
IDCJAC0009,81076,1940,08,12,0.0,,Y
IDCJAC0009,81076,1940,08,13,2.8,1,Y
IDCJAC0009,81076,1940,08,14,0.0,,Y
IDCJAC0009,81076,1940,08,15,0.0,,Y
IDCJAC0009,81076,1940,08,16,0.5,1,Y
IDCJAC0009,81076,1940,08,17,0.0,,Y
IDCJAC0009,81076,1940,08,18,0.0,,Y
IDCJAC0009,81076,1940,08,19,0.0,,Y
IDCJAC0009,81076,1940,08,20,0.0,,Y
IDCJAC0009,81076,1940,08,21,0.0,,Y
IDCJAC0009,81076,1940,08,22,0.0,,Y
IDCJAC0009,81076,1940,08,23,0.0,,Y
IDCJAC0009,81076,1940,08,24,0.0,,Y
IDCJAC0009,81076,1940,08,25,0.0,,Y
IDCJAC0009,81076,1940,08,26,0.8,1,Y
IDCJAC0009,81076,1940,08,27,1.3,1,Y
IDCJAC0009,81076,1940,08,28,0.5,1,Y
IDCJAC0009,81076,1940,08,29,2.0,1,Y
IDCJAC0009,81076,1940,08,30,0.0,,Y
IDCJAC0009,81076,1940,08,31,0.0,,Y
IDCJAC0009,81076,1940,09,01,0.0,,Y
IDCJAC0009,81076,1940,09,02,0.0,,Y
IDCJAC0009,81076,1940,09,03,0.3,1,Y
IDCJAC0009,81076,1940,09,04,0.0,,Y
IDCJAC0009,81076,1940,09,05,0.0,,Y
IDCJAC0009,81076,1940,09,06,0.0,,Y
IDCJAC0009,81076,1940,09,07,0.0,,Y
IDCJAC0009,81076,1940,09,08,0.0,,Y
IDCJAC0009,81076,1940,09,09,0.0,,Y
IDCJAC0009,81076,1940,09,10,0.0,,Y
IDCJAC0009,81076,1940,09,11,0.0,,Y
IDCJAC0009,81076,1940,09,12,0.0,,Y
IDCJAC0009,81076,1940,09,13,14.7,1,Y
IDCJAC0009,81076,1940,09,14,0.0,,Y
IDCJAC0009,81076,1940,09,15,0.0,,Y
IDCJAC0009,81076,1940,09,16,0.0,,Y
IDCJAC0009,81076,1940,09,17,0.0,,Y
IDCJAC0009,81076,1940,09,18,0.0,,Y
IDCJAC0009,81076,1940,09,19,0.0,,Y
IDCJAC0009,81076,1940,09,20,0.0,,Y
IDCJAC0009,81076,1940,09,21,18.3,1,Y
IDCJAC0009,81076,1940,09,22,3.0,1,Y
IDCJAC0009,81076,1940,09,23,0.0,,Y
IDCJAC0009,81076,1940,09,24,0.0,,Y
IDCJAC0009,81076,1940,09,25,0.0,,Y
IDCJAC0009,81076,1940,09,26,0.0,,Y
IDCJAC0009,81076,1940,09,27,8.4,1,Y
IDCJAC0009,81076,1940,09,28,0.0,,Y
IDCJAC0009,81076,1940,09,29,0.0,,Y
IDCJAC0009,81076,1940,09,30,0.0,,Y
IDCJAC0009,81076,1940,10,01,0.0,,Y
IDCJAC0009,81076,1940,10,02,0.0,,Y
IDCJAC0009,81076,1940,10,03,0.0,,Y
IDCJAC0009,81076,1940,10,04,0.0,,Y
IDCJAC0009,81076,1940,10,05,0.0,,Y
IDCJAC0009,81076,1940,10,06,0.0,,Y
IDCJAC0009,81076,1940,10,07,0.0,,Y
IDCJAC0009,81076,1940,10,08,0.0,,Y
IDCJAC0009,81076,1940,10,09,0.0,,Y
IDCJAC0009,81076,1940,10,10,0.0,,Y
IDCJAC0009,81076,1940,10,11,0.0,,Y
IDCJAC0009,81076,1940,10,12,0.0,,Y
IDCJAC0009,81076,1940,10,13,0.0,,Y
IDCJAC0009,81076,1940,10,14,0.0,,Y
IDCJAC0009,81076,1940,10,15,1.0,1,Y
IDCJAC0009,81076,1940,10,16,0.0,,Y
IDCJAC0009,81076,1940,10,17,0.0,,Y
IDCJAC0009,81076,1940,10,18,0.0,,Y
IDCJAC0009,81076,1940,10,19,0.0,,Y
IDCJAC0009,81076,1940,10,20,0.0,,Y
IDCJAC0009,81076,1940,10,21,0.0,,Y
IDCJAC0009,81076,1940,10,22,0.0,,Y
IDCJAC0009,81076,1940,10,23,7.1,1,Y
IDCJAC0009,81076,1940,10,24,0.0,,Y
IDCJAC0009,81076,1940,10,25,0.0,,Y
IDCJAC0009,81076,1940,10,26,0.0,,Y
IDCJAC0009,81076,1940,10,27,0.0,,Y
IDCJAC0009,81076,1940,10,28,0.0,,Y
IDCJAC0009,81076,1940,10,29,0.0,,Y
IDCJAC0009,81076,1940,10,30,0.0,,Y
IDCJAC0009,81076,1940,10,31,0.0,,Y
IDCJAC0009,81076,1940,11,01,0.0,,Y
IDCJAC0009,81076,1940,11,02,0.0,,Y
IDCJAC0009,81076,1940,11,03,0.0,,Y
IDCJAC0009,81076,1940,11,04,0.0,,Y
IDCJAC0009,81076,1940,11,05,0.0,,Y
IDCJAC0009,81076,1940,11,06,0.0,,Y
IDCJAC0009,81076,1940,11,07,0.0,,Y
IDCJAC0009,81076,1940,11,08,0.0,,Y
IDCJAC0009,81076,1940,11,09,0.0,,Y
IDCJAC0009,81076,1940,11,10,0.0,,Y
IDCJAC0009,81076,1940,11,11,0.0,,Y
IDCJAC0009,81076,1940,11,12,8.9,1,Y
IDCJAC0009,81076,1940,11,13,0.0,,Y
IDCJAC0009,81076,1940,11,14,0.0,,Y
IDCJAC0009,81076,1940,11,15,0.0,,Y
IDCJAC0009,81076,1940,11,16,0.0,,Y
IDCJAC0009,81076,1940,11,17,0.0,,Y
IDCJAC0009,81076,1940,11,18,0.0,,Y
IDCJAC0009,81076,1940,11,19,0.0,,Y
IDCJAC0009,81076,1940,11,20,0.0,,Y
IDCJAC0009,81076,1940,11,21,0.0,,Y
IDCJAC0009,81076,1940,11,22,0.0,,Y
IDCJAC0009,81076,1940,11,23,3.6,1,Y
IDCJAC0009,81076,1940,11,24,1.3,1,Y
IDCJAC0009,81076,1940,11,25,0.0,,Y
IDCJAC0009,81076,1940,11,26,0.0,,Y
IDCJAC0009,81076,1940,11,27,0.0,,Y
IDCJAC0009,81076,1940,11,28,0.0,,Y
IDCJAC0009,81076,1940,11,29,0.0,,Y
IDCJAC0009,81076,1940,11,30,0.0,,Y
IDCJAC0009,81076,1940,12,01,0.0,,Y
IDCJAC0009,81076,1940,12,02,0.0,,Y
IDCJAC0009,81076,1940,12,03,0.0,,Y
IDCJAC0009,81076,1940,12,04,0.0,,Y
IDCJAC0009,81076,1940,12,05,0.0,,Y
IDCJAC0009,81076,1940,12,06,0.0,,Y
IDCJAC0009,81076,1940,12,07,0.0,,Y
IDCJAC0009,81076,1940,12,08,8.1,1,Y
IDCJAC0009,81076,1940,12,09,0.0,,Y
IDCJAC0009,81076,1940,12,10,0.0,,Y
IDCJAC0009,81076,1940,12,11,0.0,,Y
IDCJAC0009,81076,1940,12,12,0.0,,Y
IDCJAC0009,81076,1940,12,13,0.0,,Y
IDCJAC0009,81076,1940,12,14,0.0,,Y
IDCJAC0009,81076,1940,12,15,0.0,,Y
IDCJAC0009,81076,1940,12,16,0.0,,Y
IDCJAC0009,81076,1940,12,17,0.0,,Y
IDCJAC0009,81076,1940,12,18,0.0,,Y
IDCJAC0009,81076,1940,12,19,0.0,,Y
IDCJAC0009,81076,1940,12,20,0.0,,Y
IDCJAC0009,81076,1940,12,21,0.0,,Y
IDCJAC0009,81076,1940,12,22,0.0,,Y
IDCJAC0009,81076,1940,12,23,0.0,,Y
IDCJAC0009,81076,1940,12,24,0.0,,Y
IDCJAC0009,81076,1940,12,25,0.0,,Y
IDCJAC0009,81076,1940,12,26,0.0,,Y
IDCJAC0009,81076,1940,12,27,0.0,,Y
IDCJAC0009,81076,1940,12,28,44.5,1,Y
IDCJAC0009,81076,1940,12,29,0.0,,Y
IDCJAC0009,81076,1940,12,30,0.0,,Y
IDCJAC0009,81076,1940,12,31,0.0,,Y
IDCJAC0009,81076,1941,01,01,0.0,,Y
IDCJAC0009,81076,1941,01,02,0.0,,Y
IDCJAC0009,81076,1941,01,03,0.0,,Y
IDCJAC0009,81076,1941,01,04,97.8,1,Y
IDCJAC0009,81076,1941,01,05,0.0,,Y
IDCJAC0009,81076,1941,01,06,0.0,,Y
IDCJAC0009,81076,1941,01,07,0.0,,Y
IDCJAC0009,81076,1941,01,08,0.0,,Y
IDCJAC0009,81076,1941,01,09,0.0,,Y
IDCJAC0009,81076,1941,01,10,0.0,,Y
IDCJAC0009,81076,1941,01,11,0.0,,Y
IDCJAC0009,81076,1941,01,12,0.0,,Y
IDCJAC0009,81076,1941,01,13,0.0,,Y
IDCJAC0009,81076,1941,01,14,0.0,,Y
IDCJAC0009,81076,1941,01,15,0.0,,Y
IDCJAC0009,81076,1941,01,16,17.3,1,Y
IDCJAC0009,81076,1941,01,17,0.0,,Y
IDCJAC0009,81076,1941,01,18,0.0,,Y
IDCJAC0009,81076,1941,01,19,0.0,,Y
IDCJAC0009,81076,1941,01,20,0.0,,Y
IDCJAC0009,81076,1941,01,21,0.0,,Y
IDCJAC0009,81076,1941,01,22,0.0,,Y
IDCJAC0009,81076,1941,01,23,0.3,1,Y
IDCJAC0009,81076,1941,01,24,2.8,1,Y
IDCJAC0009,81076,1941,01,25,29.5,1,Y
IDCJAC0009,81076,1941,01,26,73.2,1,Y
IDCJAC0009,81076,1941,01,27,0.0,,Y
IDCJAC0009,81076,1941,01,28,0.0,,Y
IDCJAC0009,81076,1941,01,29,0.0,,Y
IDCJAC0009,81076,1941,01,30,0.0,,Y
IDCJAC0009,81076,1941,01,31,0.0,,Y
IDCJAC0009,81076,1941,02,01,0.0,,Y
IDCJAC0009,81076,1941,02,02,0.0,,Y
IDCJAC0009,81076,1941,02,03,0.0,,Y
IDCJAC0009,81076,1941,02,04,0.0,,Y
IDCJAC0009,81076,1941,02,05,0.0,,Y
IDCJAC0009,81076,1941,02,06,0.0,,Y
IDCJAC0009,81076,1941,02,07,0.0,,Y
IDCJAC0009,81076,1941,02,08,0.0,,Y
IDCJAC0009,81076,1941,02,09,0.0,,Y
IDCJAC0009,81076,1941,02,10,0.0,,Y
IDCJAC0009,81076,1941,02,11,0.0,,Y
IDCJAC0009,81076,1941,02,12,0.0,,Y
IDCJAC0009,81076,1941,02,13,0.0,,Y
IDCJAC0009,81076,1941,02,14,0.0,,Y
